Index,Player,PartnerIndex,Mode,Score,Q1,Q2,Q3,Q4
100001,1,,0,259,09/06/2018 13:16:38,,,,
2,0,,1,778,09/06/2018 13:20:11,,,,
3,0,,0,423,09/06/2018 13:20:11,,,,
4,1,,0,76,09/06/2018 13:20:11,,,,
5,0,,1,514,09/06/2018 13:20:11,,,,
6,1,,0,491,09/06/2018 13:20:11,,,,
7,0,,1,791,09/06/2018 13:20:11,,,,
8,1,,0,164,09/06/2018 13:20:11,,,,
9,1,,0,103,09/06/2018 13:20:11,,,,
10,1,,0,315,09/06/2018 13:20:11,,,,
11,0,,0,547,09/06/2018 13:20:11,,,,
12,1,,1,164,09/06/2018 13:20:11,,,,
13,0,,1,431,09/06/2018 13:20:11,,,,
14,1,,0,304,09/06/2018 13:20:11,,,,
15,0,,1,774,09/06/2018 13:20:11,,,,
16,1,,0,283,09/06/2018 13:20:11,,,,
17,0,,0,672,09/06/2018 13:20:11,,,,
18,0,,1,425,09/06/2018 13:20:11,,,,
19,1,,1,382,09/06/2018 13:20:11,,,,
20,1,,1,75,09/06/2018 13:20:11,,,,
21,1,,0,315,09/06/2018 13:20:11,,,,
22,0,,1,776,09/06/2018 13:20:11,,,,
23,0,,0,157,09/06/2018 13:20:11,,,,
24,0,,0,10,09/06/2018 13:20:11,,,,
25,1,,0,457,09/06/2018 13:20:11,,,,
26,1,,1,284,09/06/2018 13:20:11,,,,
27,1,,0,117,09/06/2018 13:20:11,,,,
28,0,,1,541,09/06/2018 13:20:11,,,,
29,1,,0,426,09/06/2018 13:20:11,,,,
30,0,,0,603,09/06/2018 13:20:11,,,,
31,0,,1,416,09/06/2018 13:20:11,,,,
32,0,,0,232,09/06/2018 13:20:11,,,,
33,0,,0,356,09/06/2018 13:20:11,,,,
34,0,,0,114,09/06/2018 13:20:11,,,,
35,1,,0,422,09/06/2018 13:20:11,,,,
36,1,,0,610,09/06/2018 13:20:11,,,,
37,0,,0,642,09/06/2018 13:20:11,,,,
38,0,,1,316,09/06/2018 13:20:11,,,,
39,0,,0,390,09/06/2018 13:20:11,,,,
40,0,,0,141,09/06/2018 13:20:11,,,,
41,1,,0,496,09/06/2018 13:20:11,,,,
42,0,,0,483,09/06/2018 13:20:11,,,,
43,0,,0,285,09/06/2018 13:20:11,,,,
44,0,,1,794,09/06/2018 13:20:11,,,,
45,1,,0,579,09/06/2018 13:20:11,,,,
46,0,,1,368,09/06/2018 13:20:11,,,,
47,0,,0,772,09/06/2018 13:20:11,,,,
48,0,,1,449,09/06/2018 13:20:11,,,,
49,1,,0,152,09/06/2018 13:20:11,,,,
50,0,,1,473,09/06/2018 13:20:11,,,,
51,1,,1,457,09/06/2018 13:20:11,,,,
52,1,,1,0,09/06/2018 13:20:11,,,,
53,0,,1,580,09/06/2018 13:20:11,,,,
54,0,,1,278,09/06/2018 13:20:11,,,,
55,1,,1,182,09/06/2018 13:20:11,,,,
56,0,,0,674,09/06/2018 13:20:11,,,,
57,1,,1,575,09/06/2018 13:20:11,,,,
58,1,,0,696,09/06/2018 13:20:11,,,,
59,1,,1,528,09/06/2018 13:20:11,,,,
60,0,,0,221,09/06/2018 13:20:11,,,,
61,1,,1,705,09/06/2018 13:20:11,,,,
62,1,,0,527,09/06/2018 13:20:11,,,,
63,1,,1,104,09/06/2018 13:20:11,,,,
64,1,,0,615,09/06/2018 13:20:11,,,,
65,1,,1,12,09/06/2018 13:20:11,,,,
66,0,,0,94,09/06/2018 13:20:11,,,,
67,0,,0,275,09/06/2018 13:20:11,,,,
68,1,,1,118,09/06/2018 13:20:11,,,,
69,0,,1,37,09/06/2018 13:20:11,,,,
